use_image,retrieved_docs_count,use_few_shot,query_id,user_query,generated_question,generated_answer
FALSE,1,FALSE,01JEQHR6J25W0GZ3J1SZPHQCAP,Do you have any sample questions on angle properties of circles?,"Consider a cyclic quadrilateral EFGH inscribed in a circle with center O. A tangent EP is drawn at E and another tangent FP is drawn at F. Given \( \angle EOF = 136^\circ \) and \( \angle GEP = 48^\circ \), (a) determine (i) \( \angle EHF \), (ii) \( \angle EGF \). (b) Discuss whether segment OF is parallel to EG.","\angleEHF=44^\circ,\angleEGF=48^\circ,OFandEGarenotparallel."
FALSE,1,FALSE,01JEQHRYX0W4995Z1XF4X0KES2,Can you provide practice problems on finding the probability of single events?,"In a jar, there are 25 red marbles, 35 white marbles, and 40 black marbles. A marble is picked at random from the jar and then replaced. What is the probability of not picking a white marble? Express the answer in its simplest form.",\frac{13}{20}
FALSE,1,FALSE,01JEQHRX5SDC7987KV663N4B0H,Do you have any sample questions on applying rates to real-life problems?,A cyclist accelerates from rest at a uniform rate of 2 \ \mathrm{ms^{-2}}. Calculate the distance travelled in the first 10 seconds.,100\\mathrm{m}
FALSE,1,FALSE,01JEQHS08J2SXBA46C86WSTSJD,I need exercises involving probability of single events; can you help?,"A box contains 25 red marbles, 15 black marbles, and 10 white marbles. A marble is drawn at random from the box and then replaced. (i) Find the probability of drawing a red or a white marble, and express your answer in simplest form.",\frac{7}{10}
FALSE,1,FALSE,01JEQHRYMMVF5NZJJ4MZFYEZY5,Could you give me some problems to practice rates in real-world contexts?,"A car accelerates from rest at a uniform rate. If it reaches a speed of \( 20 \, \text{m/s} \) after 5 seconds, what is the total distance traveled by the car in the first 6 seconds?","72\,\text{m}"
FALSE,1,FALSE,01JEQHS8XAT0TSV0GYS4FWB2WF,Where can I find practice questions on basic probability?,"There are 50 red marbles, 25 white marbles, and 10 black marbles in a jar. A marble is picked randomly from the jar and placed back. What is the probability of picking a black marble? Express your answer as a fraction reduced to its lowest terms.",\frac{2}{17}
FALSE,1,FALSE,01JEQHSD9XXWKA38W4PF1YHQVY,Could you give me some problems to practice finding probability of single events?,"A jar contains 25 red marbles, 15 white marbles, and 10 black marbles. A marble is selected at random and then replaced. (i) Calculate the probability of not choosing a white marble, and express your answer in simplest terms.",\(\frac{7}{10}\)
FALSE,1,FALSE,01JEQHS9GHPD5VKXGBBBJCXMXG,Do you have any sample questions on calculating probabilities of single events?,"Question: A box contains 25 red marbles, 15 black marbles, and 10 white marbles. If a marble is randomly picked from the box and then replaced, calculate the probability of not picking a white marble. Express your answer in its simplest form.",\(\frac{4}{5}\)
FALSE,1,FALSE,01JEQHSJBDQK82Q4X1K6NQ8MRR,I need exercises involving elimination method for simultaneous equations; can you help?,A certain orchard has rows of apple and peach trees. Solve for the number of apple trees (x) and peach trees (y) if the equations governing the orchard are: \( 5x + 8y = 40 \) and \( 7x - 3y = 11 \).,"x\approx2.93,y\approx3.17"
FALSE,1,FALSE,01JEQHSHPAK1MVWV50S38XX1QF,Can you provide practice problems on solving simultaneous equations using elimination?,"A movie theater sells tickets for adults at $8 each and for children at $5 each. On a certain day, the total number of tickets sold was 120, and the total money collected was $780. Formulate and solve a system of equations to determine how many tickets for adults and how many tickets for children were sold.",60adultticketsand60childrentickets.
FALSE,1,FALSE,01JEQHSYMR7VRH64EDYVMJ2SQ7,Can you provide practice problems on evaluating algebraic formulas?,"Evaluate the expression \( 3x^2 - 2x + 4 \) for \( x = 2, 4, 6 \).","Theevaluatedexpressionsare:12for\(x=2\),44for\(x=4\),and100for\(x=6\)."
FALSE,1,FALSE,01JEQHSRCW8C2AFRZ4HVR35DRG,Where can I find practice questions on solving equations by elimination?,A system of equations represents the total cost for breakfast and lunch. Solve the following set of equations to find the values: \( 3a + 5b = 16 \) and \( 4a - 3b = 9 \).,"\(a=\frac{93}{29},b=\frac{25}{29}\)"
FALSE,1,FALSE,01JEQHSYFZC0B3PR1K0JHRHVQ6,Could you give me some problems to practice solving simultaneous equations by elimination?,"A grocery store sells apples and bananas. If 8 apples and 3 bananas cost $14, and 2 apples and 5 bananas cost $7, find the price of one apple and one banana by solving the simultaneous equations.",Oneapplecosts\(\frac{97}{17}\)andonebananacosts\(\frac{14}{17}\).
FALSE,1,FALSE,01JEQHT7XJF2YV2ZGWM2VDQN24,I need exercises involving evaluating algebraic expressions; can you help?,"Evaluate the expression \( 3x^2 - 2x + 4 \) for the values \( x = 3, 4, 5 \).","Forx=3,25;forx=4,44;forx=5,69."
FALSE,1,FALSE,01JEQHSVT2GW1V841QJCM5ZZZK,Do you have any sample questions on elimination method for simultaneous equations?,"In a small town, the total sales on two products, A and B, are described by the following equations: \( 3x + 5y = 12 \) and \( 5x - 3y = 2 \). Find the values of \( x \) and \( y \) representing the sales units of products A and B, respectively.","x=\frac{23}{17},y=\frac{66}{85}"
FALSE,1,FALSE,01JEQHT9G3B2FHPB75K5R9ZYFV,Where can I find practice questions on evaluating formulas?,"Evaluate the expression \( x^2 + 3x - 5 \) for \( x = 8, 9, 10 \).","Theevaluatedexpressionsare83,103,125forx=8,9,10respectively."
TRUE,1,FALSE,01JEQHTKDPT6CZDDS2Z05WVDS7,I need some exercises involving matrix multiplication; can you help?,"Given matrices \( A = \begin{bmatrix} 2 & 3 \\ 1 & 4 \end{bmatrix} \) and \( B = \begin{bmatrix} 5 & 2 \\ 3 & 6 \end{bmatrix} \), calculate the product \( AB \).",\(AB=\begin{bmatrix}19&22\\17&26\end{bmatrix}\)
TRUE,1,FALSE,01JEQHTHF4D4YC5ZQPYM8HB894,Can you provide practice problems on multiplying two matrices?,"Given two matrices:
\[
A = \begin{bmatrix} 2 & 3 \\ 4 & 5 \end{bmatrix}, \quad B = \begin{bmatrix} 1 & 2 \\ 0 & 1 \end{bmatrix}
\]

Calculate the product \(AB\).",\begin{bmatrix}2&7\\4&13\end{bmatrix}
FALSE,1,FALSE,01JEQHTDFBJ780BCQHKJW2RM1J,Do you have any sample questions on evaluating algebraic equations?,"Evaluate the expression \( y = 3x^2 - 2x + 4 \) for the values \( x = 4, 5, \text{ and } 6 \).","Forx=4,y=44;forx=5,y=69;forx=6,y=100."
FALSE,1,FALSE,01JEQHTHA57AHHAAR52Y2KSRCR,Could you give me some problems to practice evaluating algebraic formulas?,"Evaluate the expression \( y = 3x + 2 \) for \( x = 4, 5, 6 \).","Whenx=4,y=14;Whenx=5,y=17;Whenx=6,y=20."
TRUE,1,FALSE,01JEQHV1V3PSB7MJNB6ARRKV9P,Where can I find practice questions on multiplication of matrices?,"Given two matrices, \( A = \begin{bmatrix} 2 & 3 \\ 1 & 4 \end{bmatrix} \) and \( B = \begin{bmatrix} 5 & 2 \\ 4 & 3 \end{bmatrix} \), find the product matrix \( C = A \times B \).",\(C=\begin{bmatrix}22&13\\21&14\end{bmatrix}\)
TRUE,1,FALSE,01JEQHV39KARZYRJAWSG3NYT2F,Could you give me some problems to practice matrix multiplication?,"Given the matrices \( A = \begin{pmatrix} 2 & 3 \\ 1 & 4 \end{pmatrix} \) and \( B = \begin{pmatrix} 5 & 1 \\ 3 & 2 \end{pmatrix} \), compute the product \( AB \).",\(AB=\begin{pmatrix}19&8\\17&9\end{pmatrix}\)
TRUE,1,FALSE,01JEQHV36CQQC1917HZTXM7GH0,Do you have any sample questions on multiplying two matrices?,"Given matrices \( A = \begin{bmatrix} 2 & 3 \\ 4 & 5 \end{bmatrix} \) and \( B = \begin{bmatrix} 1 & 0 \\ 0 & 1 \end{bmatrix} \), find the matrix product \( C = AB \) and \( D = BA \). Verify if \( C = D \).",C=D=\begin{bmatrix}2&3\\4&5\end{bmatrix}
TRUE,1,FALSE,01JEQHV6DKPPA9K2MRRFBHKG13,"Can you provide practice problems on finding the mean, median, and mode?","Amy has a collection of five numbers. The median of these numbers is 9, the mode is 5, and the mean is 14. The range of these numbers is 24. Determine the five numbers.","5,5,9,17,34"
TRUE,1,FALSE,01JEQHVFZN4C8N3PJ3G81AE88K,"Where can I find practice questions on mean, median, and mode?","Lauren has written six positive integers. The median of these numbers is 9, the mode is 10, and the mean is 12. The range of these numbers is 22. \nFind the six numbers.","5,9,9,10,10,27"
TRUE,1,FALSE,01JEQHVWAR37536CBEHAD180CY,"Do you have any sample questions on finding mean, median, and mode?","Charlotte has recorded the weekly sales for her shop over five weeks. The median of these sales figures is 10, the mode is 9, and the mean is 12. The range of these numbers is 15. Determine the five sales figures.","7,9,10,9,22"
TRUE,1,FALSE,01JEQHVDX04NQXNSPSMM8X1Y3X,"I need exercises involving calculating mean, median, and mode; can you help?","Emma has listed six positive integers. The median of these numbers is 12, the mode is 10, and the mean is 15. The range of these numbers is 20.\nFind the six numbers.","6,10,10,12,18,26"
TRUE,1,FALSE,01JEQHW7A005A187QS03QTWMWR,"Could you give me some problems to practice calculating mean, median, and mode?","A list of seven positive integers has a mean of 12, a median of 10, and a mode of 9. The range of the integers is 15. Find the seven integers.","7,9,9,10,12,14,22"
TRUE,1,FALSE,01JEQHWD64A96JFFA6D5AWEM5C,Can you provide practice problems on applying angle properties of circles?,"In the circle with center O, points E, F, and G lie on the circumference. QG is a tangent to the circle at G, and EQ is a tangent to the circle at E. Given that angle EOF = 136° and angle GEF = 54°.

(a) Find the value of

(i) angle EGF,

(ii) angle EFO.

(b) Explain why line OF is perpendicular to chord EG.","AngleEGF=68°,OFisperpendicularbecausealinefromthecentertothemidpointofachordisperpendicular."
TRUE,1,FALSE,01JEQHX66NE15W5HSF7K6EV4SF,Where can I find practice questions on angles in circles?,"In the diagram below, A, D, E, and C lie on a circle with center O. AQ is a tangent to the circle at A, and EQ is a tangent to the circle at E. Angle AOE = 120° and angle CAQ = 40°.

(a) Find the value of
   (i) angle AEC,
   (ii) angle ADE.

(b) Is OE parallel to DE? Explain.",(a)(i)60°(ii)80°(b)OEisnotparalleltoDE.
TRUE,1,FALSE,01JEQHX388P10SW0SZTP6JQYRQ,I need exercises involving angle properties in circle geometry; can you help?,"In a circle, center \( O \), points \( A, B, C, \) and \( D \) lie on the circumference. \( QA \) is a tangent to the circle at \( A \), and \( RC \) is a tangent to the circle at \( C \). Given that \( \angle AOD = 126^\circ \) and \( \angle DAQ = 36^\circ \), find the value of:

(a) \( \angle ACB \)

(b) \( \angle ADB \)

(c) Is line segment \( OB \) parallel to \( QC \)? Justify your answer.","(a)\(63^\circ\)(b)\(36^\circ\)(c)NO,\(OB\)isnotparallelto\(QC\)."
TRUE,1,FALSE,01JEQHXC2EYH560D4RX7MZM6KF,Could you give me some problems to practice applying angle properties in circles?,"In a circle with center \( O \), points \( M, N, P, \) and \( Q \) lie on its circumference. A line \( XY \) is tangent to the circle at \( M \), and \( ZY \) is another tangent line at \( N \). Angle \( MON = 128^\circ \) and angle \( MXN = 36^\circ \).\n\n(a) Find the value of (i) angle \( MPQ \) and (ii) angle \( NPQ \).\n\n(b) Determine whether line \( OY \) is parallel to line \( MP \). Justify your answer.","\((i)\angleMPQ=92^\circ,(ii)\angleNPQ=88^\circ\).Line\(OY\)isnotparallelto\(MP\)."
TRUE,1,FALSE,01JEQHXA9N7H7RV25H7X4SVHMA,Do you have any sample questions on angle properties of circles?,"In the diagram, E, F, G, and H lie on a circle, center Q. QR is a tangent to the circle at E and SR is a tangent to the circle at H. Angle EQH = 136° and angle EFR = 37°.

(a) Find the value of

(i) angle EGH,

(ii) angle EFH.

(b) Is QH parallel to FG? Explain.",(i)68°(ii)75°
TRUE,1,FALSE,01JEQHXZB5HSTDJFJW3NJNDPE0,I need exercises involving real-world rate applications; can you help?,"A car's velocity at any time \( t \) seconds is given by the equation \( v(t) = 2t^2 + 3t \). 

(a) Determine the acceleration of the car when \( t = 4 \).

(b) Calculate the total distance covered by the car during the first 6 seconds.","(a)19\text{m/s}^2,(b)198\text{m}"
TRUE,1,FALSE,01JEQHXZB5MJZD9MSBE8AMNQGF,Can you provide practice problems on applying rates in real-world contexts?,"(a) Find the velocity of an object when \( t = 8 \) seconds, given the acceleration \( a(t) = 3t^2 + 2t \).\n\n(b) Calculate the total distance travelled by the object in the first 8 seconds.","(a)576m/s,(b)1194.67m"
TRUE,1,FALSE,01JEQHY84MFH49Z0TFVB93RRXE,Do you have any sample questions on applying rates to real-life problems?,"(a) Calculate the acceleration of a car at \( t = 4 \) seconds if its velocity function is given by \( v(t) = 3t^2 + 2t + 1 \). 

(b) Determine the total distance travelled by the car in the first 6 seconds.","(a)26\\text{m/s}^2,(b)258\\text{m}"
TRUE,1,FALSE,01JEQHY3JE9SHJ39SJ2350812Q,Where can I find practice questions on rates in practical situations?,"A car starts from rest and accelerates constantly. If its velocity is given by the equation \( v(t) = 2t^2 + 3t + 2 \), where \( v \) is in m/s and \( t \) is in seconds,\( \) \\ (a) Find the acceleration when \( t = 6 \).\\ (b) Find the total distance travelled by the car in the first 8 seconds.","(a)27\text{m/s}^2,(b)416\text{m}"
TRUE,1,FALSE,01JEQHYMEGDZ153K54FAZ6EJ45,Can you provide practice problems on finding the probability of single events?,"There are 25 red balls, 15 blue balls, and 10 white balls in a box. A ball is randomly selected from the box and then placed back.\newline (i) Find the probability of selecting a white ball, and express your answer in its simplest form.",\(\frac{1}{5}\)
TRUE,1,FALSE,01JEQHYRKE1J7NCQ9YBBGHD5WW,Where can I find practice questions on basic probability?,"There are 25 red balls, 15 white balls, and 10 black balls in a bag. A ball is chosen at random from the bag and then replaced. (i) Find the probability of picking a red ball, express your answer to the lowest term.",\(\frac{1}{2}\)
TRUE,1,FALSE,01JEQHYCKE3JTR46G4SZCKQQ27,Could you give me some problems to practice rates in real-world contexts?,"(a) Determine the velocity when \( t = 8 \). 

(b) Calculate the average speed of the object over the first 8 seconds given the velocity formula \( v(t) = 2t + 3 \).",11\text{m/s}
TRUE,1,FALSE,01JEQHYX1WY53ENRTCV9N3GY1C,Do you have any sample questions on calculating probabilities of single events?,"There are 40 red marbles, 25 blue marbles, and 15 white marbles in a jar. A marble is drawn at random from the jar and then replaced. (i) Find the probability of not picking a white marble, express your answer in simplest form.",\frac{13}{16}
TRUE,1,FALSE,01JEQHYQKWHMT6J2BJKZDJ1PNC,I need exercises involving probability of single events; can you help?,"A jar contains 15 red marbles, 25 blue marbles, and 10 black marbles. A marble is selected at random and then replaced. \( \text{(i)} \) Find the probability of not picking a blue marble, express your answer in simplest form.",\frac{1}{2}
TRUE,1,FALSE,01JEQHZ0ZNBQEKJRTS8Z36RWV8,Could you give me some problems to practice finding probability of single events?,"There are 40 red marbles, 25 blue marbles, and 15 white marbles in a jar. A marble is drawn at random from the jar and then replaced. Find the probability of not picking a blue marble. Express your answer in its simplest form.",\(\frac{11}{16}\)
TRUE,1,FALSE,01JEQHZ66234YHYDTGASQVXMJT,I need exercises involving elimination method for simultaneous equations; can you help?,"Solve the simultaneous equations.

1. \( 3x + 8y = -12 \)
2. \( 5x - 4y = 20 \)

You must show your working.","x=\frac{28}{13},y=-\frac{30}{13}"
TRUE,1,FALSE,01JEQHZAPQV78KJD6QX86FHKHM,Where can I find practice questions on solving equations by elimination?,"Solve the simultaneous equations.

\(3x + 5y = -19\)

\(6x - 3y = 12\)

You must show your working.","x=\frac{1}{13},\y=-\frac{253}{65}"
TRUE,1,FALSE,01JEQHZ42RY6GP2JY5TZ7HPQJ1,Can you provide practice problems on solving simultaneous equations using elimination?,"Solve the simultaneous equations below using the method of elimination. 
\[ 5x + 3y = -9 \]
\[ 7x - 5y = 16 \]
You must show your working.","x=\frac{3}{46},y=-\frac{143}{46}"
TRUE,1,FALSE,01JEQHZAZ6K88NX8ECFDHJJ5TP,Do you have any sample questions on elimination method for simultaneous equations?,"Solve the simultaneous equations.

\[ 3x + 5y = -16 \]
\[ 2x - 3y = 10 \]

You must show your working.","x=\frac{2}{19},y=-\frac{62}{19}"
TRUE,1,FALSE,01JEQHZPQMDTJ84QS7R32P6RQ8,Could you give me some problems to practice solving simultaneous equations by elimination?,"Solve the simultaneous equations.

\[ \begin{align*} 3x + 2y &= 8 \\ 5x - 3y &= -1 \end{align*} \]

You must show your working.","x=\frac{22}{19},y=\frac{43}{19}"
TRUE,1,FALSE,01JEQHZZQZ9DEAJ3C8S9MPJX85,Can you provide practice problems on evaluating algebraic formulas?,Evaluate the expression \( z = 3x + 2y^2 \) when \( x = 2 \) and \( y = -3 \).,24
TRUE,1,FALSE,01JEQJ045KYGTWB4SHB5S6D7CH,I need exercises involving evaluating algebraic expressions; can you help?,"Evaluate the expression \( 3x + 2y - 4 \) for \( x = 4, \ y = -2 \).",4
TRUE,1,FALSE,01JEQJ05S528YZN800KQPDJ6RT,Where can I find practice questions on evaluating formulas?,"Evaluate the expression \( z = 3x^2 + 2y - 5 \) for \( x = -2, y = 4 \).",15
TRUE,1,FALSE,01JEQJ08M9CEWTWEVS2GDCRXAA,Do you have any sample questions on evaluating algebraic equations?,Evaluate the expression \(3x^2 - 4y + 7\) when \(x = 2\) and \(y = -3\).,31
TRUE,1,FALSE,01JEQJ0AR24KNTXV5322271BV1,Could you give me some problems to practice evaluating algebraic formulas?,"Consider the algebraic expression given by \( A = 3x + 4y - z \). Evaluate this expression for \( x = 2 \), \( y = -1 \), and \( z = 5 \).",-3
TRUE,1,TRUE,01JEQJ0CESJ12VKXCE3DYBRP8A,Can you provide practice problems on multiplying two matrices?,"Given matrices \( C \) and \( D \), evaluate the matrix \( T = CD \):
\[ C = \begin{bmatrix} 5 & 4 \\ 2 & 9 \end{bmatrix}, \quad D = \begin{bmatrix} 6 & 3 \\ 1 & 8 \end{bmatrix}. \]",\(T=\begin{bmatrix}34&47\\21&78\end{bmatrix}\)
TRUE,1,TRUE,01JEQJ0GPFSPF62MTNDX46JYS2,I need some exercises involving matrix multiplication; can you help?,Calculate the product of the matrices \( A = \begin{bmatrix} 1 & 4 \\ 2 & 3 \end{bmatrix} \) and \( B = \begin{bmatrix} 5 & 2 \\ 1 & 6 \end{bmatrix} \).,\(\begin{bmatrix}9&26\\13&22\end{bmatrix}\)
TRUE,1,TRUE,01JEQJ0MM89W8GY2PVSFKAGVAG,Where can I find practice questions on multiplication of matrices?,"Evaluate the matrix product \( C = AB \), where \( A \) and \( B \) are given matrices:
\[ A = \begin{bmatrix} 4 & 1 \\ 6 & 5 \end{bmatrix}, \quad B = \begin{bmatrix} 2 & 3 \\ 7 & 9 \end{bmatrix}. \]",\(C=\begin{bmatrix}15&21\\47&63\end{bmatrix}\)
TRUE,1,TRUE,01JEQJ0NT0GD0P4C7WGBAYQKEY,Do you have any sample questions on multiplying two matrices?,"Evaluate the matrix product \( C = AD \), where \( A \) and \( D \) are given matrices:
\[ A = \begin{bmatrix} 1 & 4 \\ 2 & 5 \end{bmatrix}, \quad D = \begin{bmatrix} 7 & 3 \\ 6 & 8 \end{bmatrix}. \]",\(\begin{bmatrix}31&35\\44&46\end{bmatrix}\)
TRUE,1,TRUE,01JEQJ0XB5K9VSASNM9XTVD4K6,Could you give me some problems to practice matrix multiplication?,"Evaluate the product of matrices \( C = AD \), given:
\[
A = \begin{bmatrix} 5 & 4 \\ 1 & 2 \end{bmatrix}, \quad D = \begin{bmatrix} 3 & 1 \\ 2 & 6 \end{bmatrix}.
\]",\(C=\begin{bmatrix}23&29\\7&13\end{bmatrix}\)
TRUE,1,TRUE,01JEQJ10KXV441AYA75PRF4R45,"Can you provide practice problems on finding the mean, median, and mode?","A set of five different integers has a range of 18, a mode of 6, and a mean of 12. Find the five integers.","4,6,6,10,22"
TRUE,1,TRUE,01JEQJ12J9ZJQY6Z9DNPNHKXY6,"I need exercises involving calculating mean, median, and mode; can you help?","A dataset consists of seven numbers. The median of these numbers is 10, the mode is 12, and the mean is 11. If the range of these numbers is 18, find the seven numbers.","Onepossiblesolution:4,9,12,10,12,12,22"
TRUE,1,TRUE,01JEQJ1ERJ2ECGM9NWV94YF9DY,"Do you have any sample questions on finding mean, median, and mode?","A set of six positive integers has a mean of 14, a median of 15, and a mode of 13. The range of the numbers is 12. Determine these six numbers.","11,13,13,17,18,23"
TRUE,1,TRUE,01JEQJ18GQGA7QW4TFHFSQXBC8,"Where can I find practice questions on mean, median, and mode?","Samantha has collected data on the ages of seven children. The median age is 10, the mode is 9, and the mean age is 11. The range of these ages is 8. Find the seven ages.","7,9,9,10,11,12,15"
TRUE,1,TRUE,01JEQJ252CDFEQKJ1XZTEQPMS9,Can you provide practice problems on applying angle properties of circles?,"In the figure, \( E, F, G \) and \( H \) lie on a circle with center \( O \). \( EH \) is a tangent to the circle at \( H \) and \( FG \) is a tangent to the circle at \( F \). Given that angle \( EOH = 124^\circ \) and angle \( FGH = 36^\circ \), find the value of angle \( EGF \).",62^\circ
TRUE,1,TRUE,01JEQJ2FGVHYA8WHN68S5P687H,I need exercises involving angle properties in circle geometry; can you help?,"In the circle with center \( O \), points \( P, Q, R, \) and \( S \) lie on the circle. Line \( PT \) is a tangent at \( P \) and line \( QS \) is a tangent at \( Q \). Given that angle \( \angle POR = 136^\circ \) and angle \( \angle PQT = 48^\circ \), find:

(a) \( \angle PRQ \)

(b) \( \angle QRS \) and state if \( PR \) is parallel to \( QS \).","(a)\anglePRQ=22^\circ,\quad(b)\angleQRS=48^\circ.\quadPR\text{isnotparallelto}QS."
TRUE,1,TRUE,01JEQJ252CR6HHKS6XBKFYSE4J,"Could you give me some problems to practice calculating mean, median, and mode?","Five positive integers are listed such that their median is 9, the mode is 10, and the mean is 14. The range of these numbers is 24. Determine what these five numbers could be.","Possiblenumbers:5,9,10,10,29"
