use_image,retrieved_docs_count,use_few_shot,query_id,user_query,generated_question,generated_answer,citations,citation_1_text,citation_2_text,citation_3_text,damerau_levenshtein_sim,jaro_winkler_sim
False,1,False,01JERWS45GWNG0KX50CPGWX1FA,Can you provide practice problems on applying angle properties of circles?,"Points X, Z, Y, and W are situated on a circle with center M. XQ is a tangent to the circle at X, and YQ is a tangent to the circle at Y. Given that \(\angle XMY = 138^\circ\) and \(\angle ZXY = 45^\circ\), (a) determine (i) \(\angle XWY\), (ii) \(\angle XYZ\). (b) Is MY parallel to XZ? Justify your answer.","(a)(i)51\(^\circ\),(ii)45\(^\circ\);(b)No,MYisnotparalleltoXZastheanglesformeddonotsatisfyparallelismcriteria.",674dcdb4b00b977d048c931a,"A, D, B, and C lie on a circle, center O. AP is a tangent to the circle at A and BP is a tangent to the circle at B. \angle AOB = 142^\circ \text{ and } \angle DAP = 42^\circ. \text{ (a) Find the value of (i) } \angle ACB, \text{ (ii) } \angle ADB. \text{ (b) Is OB parallel to AD? Explain.}",,,0.42207792207792205,0.28632771446598004
False,1,False,01JERWSD7CVDNSTVXWDB5P8C0R,Where can I find practice questions on angles in circles?,"Points W, Y, X, and Z are located on a circle centered at S. Line WX is tangent to the circle at W, and line YX is tangent to the circle at Y. Given that \( \angle WXY = 150^\circ \) and \( \angle ZWX = 50^\circ \), (a) find the measures of (i) \( \angle WYZ \), (ii) \( \angle WZX \). (b) Are line segments SY and WZ parallel? Provide reasoning.","\(\angleWYZ=105^\circ\),\(\angleWZX=50^\circ\).SYandWZarenotparallel.",674dcdb4b00b977d048c931a,"A, D, B, and C lie on a circle, center O. AP is a tangent to the circle at A and BP is a tangent to the circle at B. \angle AOB = 142^\circ \text{ and } \angle DAP = 42^\circ. \text{ (a) Find the value of (i) } \angle ACB, \text{ (ii) } \angle ADB. \text{ (b) Is OB parallel to AD? Explain.}",,,0.43352601156069365,0.3037038915792484
False,1,False,01JERWS6HTVM4NSR0XBK60PATC,I need exercises involving angle properties in circle geometry; can you help?,"In a circle centered at O, points X, W, Y, and Z are on the circle. XP and YP are tangents to the circle at points X and Y respectively. Given that \( \angle XOY = 130^\circ \) and \( \angle WXP = 40^\circ \), (a) determine (i) \( \angle XYZ \), (ii) \( \angle XWZ \). (b) Are YZ and WX parallel? Justify your answer.","(i)\angleXYZ=65^\circ,(ii)\angleXWZ=65^\circ\text{,andWXisnotparalleltoYZ.}",674dcdb4b00b977d048c931a,"A, D, B, and C lie on a circle, center O. AP is a tangent to the circle at A and BP is a tangent to the circle at B. \angle AOB = 142^\circ \text{ and } \angle DAP = 42^\circ. \text{ (a) Find the value of (i) } \angle ACB, \text{ (ii) } \angle ADB. \text{ (b) Is OB parallel to AD? Explain.}",,,0.5583596214511041,0.2851841141336505
False,1,False,01JERWSTJ57TDHWNVFP2GESRHZ,Could you give me some problems to practice applying angle properties in circles?,"E, F, G, and H lie on a circle, center Q. EQ is a tangent to the circle at E and FQ is a tangent to the circle at F. \angle EQF = 156^\circ \text{ and } \angle HEQ = 38^\circ. \text{ (a) Find the value of (i) } \angle HFG, \text{ (ii) } \angle HGF. \text{ (b) Is QF parallel to EH? Justify your answer.}","AngleHFG:78^\circ;AngleHGF:40^\circ;Parallel:No,QFandEHarenotparallel.",674dcdb4b00b977d048c931a,"A, D, B, and C lie on a circle, center O. AP is a tangent to the circle at A and BP is a tangent to the circle at B. \angle AOB = 142^\circ \text{ and } \angle DAP = 42^\circ. \text{ (a) Find the value of (i) } \angle ACB, \text{ (ii) } \angle ADB. \text{ (b) Is OB parallel to AD? Explain.}",,,0.15841584158415842,0.20239169008962354
False,1,False,01JERWSQPRXKHFW98Q6CTET8VN,Do you have any sample questions on angle properties of circles?,"E, F, G, and H lie on a circle, center X. EQ is a tangent to the circle at E and FQ is a tangent to the circle at F. \( \angle EXF = 138^\circ \text{ and } \angle HEQ = 38^\circ. \text{ (a) Find the value of (i) } \angle EGF, \text{ (ii) } \angle EHF. \text{ (b) Is XF parallel to EH? Explain.}","(i)\(69^\circ\),(ii)\(111^\circ\).No,XFisnotparalleltoEH.",674dcdb4b00b977d048c931a,"A, D, B, and C lie on a circle, center O. AP is a tangent to the circle at A and BP is a tangent to the circle at B. \angle AOB = 142^\circ \text{ and } \angle DAP = 42^\circ. \text{ (a) Find the value of (i) } \angle ACB, \text{ (ii) } \angle ADB. \text{ (b) Is OB parallel to AD? Explain.}",,,0.11564625850340136,0.1830328483494904
False,1,False,01JERWT6G3SJA5F6ZYXZ9A2M26,I need exercises involving real-world rate applications; can you help?,The graph shows the velocity-time relation for a moving vehicle during the initial m seconds of its journey. (a) Determine the rate of acceleration when $t = 8$.,2m/s²,674dcde3b00b977d048c9356,The diagram is the speed-time graph for the first k seconds of the motion of an object. (a) Find the acceleration when \( t = 5 \).,,,0.546583850931677,0.14612477583134154
False,1,False,01JERWT5MF72GGRFXNAPM85KFR,Can you provide practice problems on applying rates in real-world contexts?,A car's speed-time graph over the first 10 seconds illustrates its velocity. (a) Determine the car's acceleration at the 8-second mark.,\(a=\frac{\Deltav}{1}\)(providedvaluesforspeedaresubstituted),674dcde3b00b977d048c9356,The diagram is the speed-time graph for the first k seconds of the motion of an object. (a) Find the acceleration when \( t = 5 \).,,,0.5333333333333333,0.31863349354443493
False,1,False,01JERWTKSEGHWZ41503G63CCA9,Could you give me some problems to practice rates in real-world contexts?,"The graph below represents the speed of a car in km/h over time in minutes. If the car's speed increases steadily from rest, what is the acceleration when the time, \( t \), is 3 minutes?",1080km/h²,674dcde3b00b977d048c9356,The diagram is the speed-time graph for the first k seconds of the motion of an object. (a) Find the acceleration when \( t = 5 \).,,,0.6149732620320856,0.3056997385690696
False,1,False,01JERWTKFEJEF84YRN45VK7NRR,Do you have any sample questions on applying rates to real-life problems?,"An athlete is running a 100-meter dash. The speed-time graph for the initial 10 seconds of their run shows a straight line from the origin to the point (4, 8) on the graph, where time is in seconds and speed is in meters per second. (a) Determine the acceleration of the athlete at t = 3 seconds.",2\text{m/s}^2,674dcde3b00b977d048c9356,The diagram is the speed-time graph for the first k seconds of the motion of an object. (a) Find the acceleration when \( t = 5 \).,,,0.6418918918918919,0.3767873371447278
False,1,False,01JERWTHW38DTE1ZKX8DBZ270M,Where can I find practice questions on rates in practical situations?,"A car's journey is represented on a speed-time graph. For the first few seconds, the car accelerates uniformly. (a) Determine the acceleration of the car at the 6th second.",Theaccelerationis\(x\)m/s²(where\(x\)isthecalculatedvalue).,674dcde3b00b977d048c9356,The diagram is the speed-time graph for the first k seconds of the motion of an object. (a) Find the acceleration when \( t = 5 \).,,,0.5116279069767442,0.278905792744934
False,1,False,01JERWTW0544RWQ8E65FS5B3SV,Can you provide practice problems on finding the probability of single events?,"(c) Julie randomly selects a day from her holiday week at the beach. What is the probability that on this day, the temperature was at least 30°C?",\(\frac{3}{7}\),674dcd9db00b977d048c9301,"(c) Ethan picks one of these days at random. Find the probability that, on that day, the amount of rain was 3 mm or more.",,,0.5586206896551724,0.1730472662134105
False,1,False,01JERWV18NGQP51SW4S4Y5TNKX,I need exercises involving probability of single events; can you help?,"A gardener is planting flowers each day for a week. The number of flowers planted each day is recorded: Monday - 5, Tuesday - 2, Wednesday - 4, Thursday - 3, Friday - 6, Saturday - 3, Sunday - 7. If one day is chosen at random, find the probability that on that day, 4 or more flowers were planted.",\(\frac{4}{7}\),674dcd9db00b977d048c9301,"(c) Ethan picks one of these days at random. Find the probability that, on that day, the amount of rain was 3 mm or more.",,,0.7516778523489933,0.3995752042833597
False,1,False,01JERWV3NJMDEFZ6XMTE2YPXAJ,Where can I find practice questions on basic probability?,Naomi picks one card at random from a deck of cards numbered 1 to 10. Find the probability that the number on the card is 4 or greater.,\(\frac{7}{10}\),674dcd9db00b977d048c9301,"(c) Ethan picks one of these days at random. Find the probability that, on that day, the amount of rain was 3 mm or more.",,,0.6222222222222222,0.2708110632353057
False,1,False,01JERWV7S8K9561PE2MW7ZT2D1,Do you have any sample questions on calculating probabilities of single events?,"A weather station recorded the amount of rainfall for each day over a month, noting any day where rainfall exceeded 3 mm as a 'Rainy Day.' If a day is selected at random from this month, what is the probability that this selected day is a 'Rainy Day' where the recorded rainfall was at least 3 mm? Assume that there are 6 such ""Rainy Days"" out of a total of 30 days in the month.",\(\frac{1}{5}\),674dcd9db00b977d048c9301,"(c) Ethan picks one of these days at random. Find the probability that, on that day, the amount of rain was 3 mm or more.",,,0.7651715039577837,0.3985520580564198
False,1,False,01JERWV90EPNE399KYXRJJCRQB,Could you give me some problems to practice finding probability of single events?,Sophia decides to play a dice game where she wins a prize if she rolls a 4 or higher on a standard six-sided die. What is the probability that she wins the prize on her first attempt?,\(\frac{1}{2}\),674dcd9db00b977d048c9301,"(c) Ethan picks one of these days at random. Find the probability that, on that day, the amount of rain was 3 mm or more.",,,0.726775956284153,0.35674532650073987
False,1,False,01JERWVFJVFZCCKYB2G8Y3GCK1,I need exercises involving elimination method for simultaneous equations; can you help?,Solve the simultaneous equations: \( 4x + 5y = 6 \) and \( 9x - 2y = 7 \).,"\(x=\frac{47}{53},y=\frac{26}{53}\)",674dcd9fb00b977d048c9306,Solve the simultaneous equations: \( 7x + 2y = 8 \) and \( 3x - y = 3 \).,,,0.08108108108108109,0.056172846035859814
False,1,False,01JERWVEY1WXY7W9B9C4YQBC35,Can you provide practice problems on solving simultaneous equations using elimination?,Consider the following system of equations: \( 5a + 3b = 13 \) and \( 4a - 2b = 8 \). Solve for \( a \) and \( b \) using the method of elimination.,"a=\frac{25}{11},b=\frac{18}{11}",674dcd9fb00b977d048c9306,Solve the simultaneous equations: \( 7x + 2y = 8 \) and \( 3x - y = 3 \).,,,0.6554054054054054,0.3516717455073619
False,1,False,01JERWVM120AAPJ9XXNP0N8KRG,Where can I find practice questions on solving equations by elimination?,Solve the simultaneous equations: \( 4x + 3y = 13 \) and \( 5x - 2y = 1 \).,"x=\frac{29}{23},y=\frac{61}{23}",674dcd9fb00b977d048c9306,Solve the simultaneous equations: \( 7x + 2y = 8 \) and \( 3x - y = 3 \).,,,0.09333333333333334,0.041498231397517515
False,1,False,01JERWVSWRR6ZGASPXMWRCD21H,Do you have any sample questions on elimination method for simultaneous equations?,Solve the simultaneous equations: \( 5a + 6b = 11 \) and \( 2a - 3b = 1 \).,"\(a=\frac{13}{9},b=\frac{17}{27}\)",674dcd9fb00b977d048c9306,Solve the simultaneous equations: \( 7x + 2y = 8 \) and \( 3x - y = 3 \).,,,0.14666666666666667,0.064390203403902
False,1,False,01JERWW1EJPTS1DG50Y37DVM7T,Could you give me some problems to practice solving simultaneous equations by elimination?,Solve the simultaneous equations: \( 5a + 3b = 16 \) and \( 4a - 2b = 10 \).,"a=\frac{31}{11},b=\frac{7}{11}",674dcd9fb00b977d048c9306,Solve the simultaneous equations: \( 7x + 2y = 8 \) and \( 3x - y = 3 \).,,,0.15789473684210525,0.06670599287758627
False,1,False,01JERWW5AZ23XGFTHRD9GB67TN,Can you provide practice problems on evaluating algebraic formulas?,Solve for \( y \) in the equation \( 5^{16} \times 4 = 10 	imes 25^y \).,\(y=\frac{15}{2}\),674dcdb5b00b977d048c931d,"Given that 2^{32} \times 1 = 6 \times 8^x, \text{ find the value of } x.",,,0.8055555555555556,0.3626228269085412
False,1,False,01JERWW63AS8G1E4WB0NYTPJ01,I need exercises involving evaluating algebraic expressions; can you help?,"In a computer network, the bandwidth capacity is described by the equation 4^{16} \times 1 = 3 \times 16^y. Find the value of \( y \).",8,674dcdb5b00b977d048c931d,"Given that 2^{32} \times 1 = 6 \times 8^x, \text{ find the value of } x.",,,0.6492537313432836,0.3936450047315213
False,1,False,01JERWWD4SHSJGNGFJ3EZ4GHSR,Where can I find practice questions on evaluating formulas?,Find the value of \( y \) if \( 3^{16} \times 4 = 9 \times 2^y \).,2,674dcdb5b00b977d048c931d,"Given that 2^{32} \times 1 = 6 \times 8^x, \text{ find the value of } x.",,,0.7638888888888888,0.3464521097499821
False,1,False,01JERWWQ4NPHE2DWPXTMNPMDQ5,Could you give me some problems to practice evaluating algebraic formulas?,Determine the value of \( x \) in the equation \( 3^{10} = 9^x \times 243 \).,x=2.5,674dcdb5b00b977d048c931d,"Given that 2^{32} \times 1 = 6 \times 8^x, \text{ find the value of } x.",,,0.7792207792207793,0.31333573833573836
False,1,False,01JERWWM9CQ4ZF5XMWECXHKYNH,Do you have any sample questions on evaluating algebraic equations?,Suppose $4^{16} \times 2 = 12 \times 16^y$. Determine the value of $y$.,y=8.25,674dcdb5b00b977d048c931d,"Given that 2^{32} \times 1 = 6 \times 8^x, \text{ find the value of } x.",,,0.4444444444444444,0.36623045149202094
False,1,False,01JERWXNJND55SW6XPDRR15V1D,What is the Fibonacci sequence used for in real life?,"Jane has 180 bananas, 240 strawberries, and 300 grapes. She wants to arrange them into identical snack bags. What is the largest number of snack bags she can create if each bag must have the same quantity of each type of fruit?",60,674dcda0b00b977d048c9308,"Mary needs to pack 210 oranges, 252 apples and 294 pears into identical fruit baskets. (i) What is the largest possible number of fruit baskets that can be packed?",,,0.6343612334801763,0.31351217234369033
